English Phrase		English Phrase ID	Portuguese Google Translation	Portuguese Suggested Translation		Portuguese Suggested Translation ID	Hindi Google 1	Hindi Google 1 ID		Hindi Google 2	Hindi Google 2 ID	Hindi Google 2 ID	Insert 1	Insert 2	Insert 3	Insert 4	Insert 5	Insert 6	Insert 1	Insert 2	Insert 3	Insert 4	Insert 5	Insert 6
I have lost my passport.	I have lost my passport	1	Eu perdi meu passaporte.	Eu perdi meu passaporte.	Eu perdi meu passaporte	2	????? ???? ???????? ?? ???? ???	????? ???? ???????? ?? ???? ??	3	mainne apana paasaport kho diya hai.	mainne apana paasaport kho diya hai	4	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(1,2);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(1,3);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(1,4);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(2,3);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(2,4);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(3,4);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(2,1);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(3,1);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(4,1);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(3,2);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(4,2);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(4,3);"
Someone stole my money. 	Someone stole my money	5	Alguém roubou meu dinheiro.	Alguém roubou meu dinheiro.	Alguém roubou meu dinheiro	6	???? ?? ???? ???? ???? ?????	???? ?? ???? ???? ???? ????	7	kisee ne mera paisa chura liya.	kisee ne mera paisa chura liya	8												
Help!	Help	9	Socorro!	Socorro!	Socorro	10	???!	???	11	madad!	madad	12												
May I have the bill?	May I have the bill	13	Pode trazer a conta?	Pode trazer a conta?	Pode trazer a conta	14	???? ???? ??? ??? ???? ???	???? ???? ??? ??? ???? ??	15	kya mujhe bil mil sakata hai?	kya mujhe bil mil sakata hai	16												
I would like dessert. 	I would like dessert	17	Eu gostaria de sobremesa.	Eu gostaria de sobremesa.	Eu gostaria de sobremesa	18	??? ????? ????????	??? ????? ???????	19	main mithaee chaahoonga.	main mithaee chaahoonga	20												
I'll have an appetizer.	I'll have an appetizer	797	Eu terei um aperitivo.	Eu terei um aperitivo.	Eu terei um aperitivo	798	???? ??? ?? ??????????? ???  	???? ??? ?? ??????????? ??	799	mere paas ek kshudhaavardhak hai.	mere paas ek kshudhaavardhak hai	800												
I would like to order.	I would like to order	21	Eu gostaria de pedir.	Eu gostaria de pedir.	Eu gostaria de pedir	22	??? ?????? ???? ????? ????	??? ?????? ???? ????? ???	23	main pharamaish karana chaahata hoon.	main pharamaish karana chaahata hoon	24												
May I see a menu?	May I see a menu	25	Posso ver um menu?	Posso ver um menu?	Posso ver um menu	26	???? ???? ?? ???? ????? ?? ??? ???	???? ???? ?? ???? ????? ?? ??? ??	27	kya mujhe ek menoo dikhaee de raha hai?	kya mujhe ek menoo dikhaee de raha hai	28												
I would like a drink.	I would like a drink	29	Quero uma bebida.	Quero uma bebida.	Quero uma bebida	30	???? ?????? ??????	???? ?????? ?????	31	mujhe drink chaahie.	mujhe drink chaahie	32												
I would like some water.	I would like some water	33	Eu gostaria de um pouco de água.	Eu gostaria de um pouco de água.	Eu gostaria de um pouco de água	34	???? ???? ???? ????????	???? ???? ???? ???????	35	thoda paanee peena chaahoonga.	thoda paanee peena chaahoonga	36												
A table for two.	A table for two	37	Uma mesa para dois.	Uma mesa para dois.	Uma mesa para dois	38	?? ?? ??? ?? ????	?? ?? ??? ?? ???	39	do ke lie ek mej.	do ke lie ek mej	40												
A table for four.	A table for four	41	Uma mesa para quatro.	Uma mesa para quatro.	Uma mesa para quatro	42	??? ?? ??? ?? ????	??? ?? ??? ?? ???	43	chaar ke lie ek mej.	chaar ke lie ek mej	44												
How far is it to the airport? 	How far is it to the airport	45	A que distância fica do aeroporto?	A que distância fica do aeroporto?	A que distância fica do aeroporto	46	???? ????? ?? ????? ??? ???	???? ????? ?? ????? ??? ??	47	havaee adde se kitanee door hai?	havaee adde se kitanee door hai	48												
How far is it to the hotel?	How far is it to the hotel	49	Qual é a distância para o hotel?	Qual é a distância para o hotel?	Qual é a distância para o hotel	50	???? ?? ???? ????? ???? ?? ???	???? ?? ???? ????? ???? ?? ??	51	yahaan se hotal kitanee dooree par hai?	yahaan se hotal kitanee dooree par hai	52												
How do you get to the airport? 	How do you get to the airport	53	Como você chega ao aeroporto?	Como você chega ao aeroporto?	Como você chega ao aeroporto	54	?? ???? ????? ?? ???? ??????????	?? ???? ????? ?? ???? ?????????	55	aap havaee adde tak kaise pahunchenge?	aap havaee adde tak kaise pahunchenge	56												
How do you get to the hotel? 	How do you get to the hotel	57	Como você chega ao hotel?	Como você chega ao hotel?	Como você chega ao hotel	58	?? ???? ??? ???? ??????????	?? ???? ??? ???? ?????????	59	aap hotal mein kaise pahunchenge?	aap hotal mein kaise pahunchenge	60												
Where is the bank?	Where is the bank	61	Onde é o Banco?	Onde é o Banco?	Onde é o Banco	62	???? ???? ???	???? ???? ??	63	baink kahaan hai?	baink kahaan hai	64												
Where can I find a restaurant?	Where can I find a restaurant	65	Onde posso encontrar um restaurante?	Onde posso encontrar um restaurante?	Onde posso encontrar um restaurante	66	???? ?? ???????? ???? ??? ???? ???	???? ?? ???????? ???? ??? ???? ??	67	mujhe ek restaraan kahaan mil sakata hai?	mujhe ek restaraan kahaan mil sakata hai	68												
Where is the hospital? 	Where is the hospital	69	Onde fica o hospital?	Onde fica o hospital?	Onde fica o hospital	70	??????? ???? ???	??????? ???? ??	71	aspataal kahaan hai?	aspataal kahaan hai	72												
Where can I find a grocery store?	Where can I find a grocery store	73	Onde posso encontrar uma mercearia?	Onde posso encontrar uma mercearia?	Onde posso encontrar uma mercearia	74	???? ?????? ?? ????? ???? ??? ???? ???	???? ?????? ?? ????? ???? ??? ???? ??	75	mujhe kiraane kee dukaan kahaan mil sakatee hai?	mujhe kiraane kee dukaan kahaan mil sakatee hai	76												
How do I call down to the front desk? 	How do I call down to the front desk	77	Como faço para ligar para a recepção?	Como faço para ligar para a recepção?	Como faço para ligar para a recepção	78	??? ????? ????? ?? ???? ??? ?????	??? ????? ????? ?? ???? ??? ????	79	main phrant desk par kaise kol karoon?	main phrant desk par kaise kol karoon	80												
How do I call for room service?	How do I call for room service	81	Como faço para ligar para o serviço de quarto?	Como faço para ligar para o serviço de quarto?	Como faço para ligar para o serviço de quarto	82	??? ??? ?????? ?? ??? ???? ??? ?????	??? ??? ?????? ?? ??? ???? ??? ????	83	main room sarvis ke lie kaise kol karoon?	main room sarvis ke lie kaise kol karoon	84												
"My room is messy, and I would like it cleaned."	"My room is messy, and I would like it cleaned"	85	Meu quarto está bagunçado e eu gostaria de limpá-lo.	Meu quarto está bagunçado e eu gostaria de limpá-lo.	Meu quarto está bagunçado e eu gostaria de limpá-lo	86	"???? ???? ????? ??, ?? ??? ??????? ?? ?? ??? ?? ????"	"???? ???? ????? ??, ?? ??? ??????? ?? ?? ??? ?? ???"	87	"mera kamara ganda hai, aur main chaahoonga ki yah saaph ho jae."	"mera kamara ganda hai, aur main chaahoonga ki yah saaph ho jae"	88												
My room needs towels.	My room needs towels	89	Meu quarto precisa de toalhas.	Meu quarto precisa de toalhas.	Meu quarto precisa de toalhas	90	???? ???? ??? ?????? ?? ????? ???	???? ???? ??? ?????? ?? ????? ??	91	mere kamare mein tauliye kee jaroorat hai.	mere kamare mein tauliye kee jaroorat hai	92												
Is there free breakfast?	Is there free breakfast	93	Tem café da manhã grátis?	Tem café da manhã grátis?	Tem café da manhã grátis	94	???? ????? ?? ?????? ???	???? ????? ?? ?????? ??	95	kya mupht ka naashta hai?	kya mupht ka naashta hai	96												
How do I access the Internet?	How do I access the Internet	97	Como eu acesso a Internet?	Como eu acesso a Internet?	Como eu acesso a Internet	98	??? ??????? ?? ????? ???? ?????	??? ??????? ?? ????? ???? ????	99	main intaranet ka upayog kaise karoon?	main intaranet ka upayog kaise karoon	100												
Where are the elevators? 	Where are the elevators	101	Onde estão os elevadores?	Onde estão os elevadores?	Onde estão os elevadores	102	????? ???? ????	????? ???? ???	103	lipht kahaan hain?	lipht kahaan hain	104												
What floor am I on?	What floor am I on	105	Em que andar estou?	Em que andar estou?	Em que andar estou	106	??? ??? ????? ?? ????	??? ??? ????? ?? ???	107	main kis manjil par hoon?	main kis manjil par hoon	108												
How many beds are in the room? 	How many beds are in the room	109	Quantas camas estão no quarto?	Quantas camas estão no quarto?	Quantas camas estão no quarto	110	?? ???? ??? ????? ?????? ????	?? ???? ??? ????? ?????? ???	111	is kamare mein kitane bistar hain?	is kamare mein kitane bistar hain	112												
Does the room have a bathroom?	Does the room have a bathroom	113	O quarto tem banheiro?	O quarto tem banheiro?	O quarto tem banheiro	114	???? ???? ??? ?????? ???	???? ???? ??? ?????? ??	115	kya kamare mein baatharoom hai?	kya kamare mein baatharoom hai	116												
I don't understand.	I don't understand	117	Eu não entendo	Eu não entendo.	Eu não entendo	118	??? ???? ?????	??? ???? ????	119	main nahin samajhata	main nahin samajhat	120												
I would like to go to the airport. 	I would like to go to the airport	121	Eu gostaria de ir ao aeroporto.	Eu gostaria de ir ao aeroporto.	Eu gostaria de ir ao aeroporto	122	??? ???????? ???? ????????	??? ???????? ???? ???????	123	main eyaraport jaana chaahoonga.	main eyaraport jaana chaahoonga	124												
I would like to go to the the mall. 	I would like to go to the the mall	125	Eu gostaria de ir ao shopping.	Eu gostaria de ir ao shopping.	Eu gostaria de ir ao shopping	126	??? ??? ???? ????????	??? ??? ???? ???????	127	main mol jaana chaahoonga.	main mol jaana chaahoonga	128												
I would like to go to the the hotel. 	I would like to go to the the hotel	129	Eu gostaria de ir ao hotel.	Eu gostaria de ir ao hotel.	Eu gostaria de ir ao hotel	130	??? ???? ???? ????????	??? ???? ???? ???????	131	main hotal jaana chaahoonga.	main hotal jaana chaahoonga	132												
I would like to go to work. 	I would like to go to work	133	Eu gostaria de ir trabalhar.	Eu gostaria de ir trabalhar.	Eu gostaria de ir trabalhar	134	??? ??? ?? ???? ????????	??? ??? ?? ???? ???????	135	main kaam par jaana chaahoonga.	main kaam par jaana chaahoonga	136												
I would like to go eat. 	I would like to go eat	137	Eu gostaria de ir comer.	Eu gostaria de ir comer.	Eu gostaria de ir comer	138	??? ???? ???? ???? ????????	??? ???? ???? ???? ???????	139	main khaana khaane jaana chaahoonga.	main khaana khaane jaana chaahoonga	140												
Do you know where this hotel is? 	Do you know where this hotel is	141	Você sabe onde fica este hotel?	Você sabe onde fica este hotel?	Você sabe onde fica este hotel	142	???? ?? ????? ??? ?? ?? ???? ???? ???	???? ?? ????? ??? ?? ?? ???? ???? ??	143	kya aap jaanate hain ki yah hotal kahaan hai?	kya aap jaanate hain ki yah hotal kahaan hai	144												
Where can I find a taxi?	Where can I find a taxi	145	Onde posso encontrar um táxi?	Onde posso encontrar um táxi?	Onde posso encontrar um táxi	146	???? ?????? ???? ??? ???? ???	???? ?????? ???? ??? ???? ??	147	mujhe taiksee kahaan mil sakatee hai?	mujhe taiksee kahaan mil sakatee hai	148												
Where is the bus stop? 	Where is the bus stop	149	Onde é o ponto de ônibus?	Onde é o ponto de ônibus?	Onde é o ponto de ônibus	150	?? ????? ??? ???	?? ????? ??? ??	151	bas stop kaha hai?	bas stop kaha hai	152												
Where is the currency exchange?	Where is the currency exchange	153	Onde está a troca de moeda?	Onde está a troca de moeda?	Onde está a troca de moeda	154	?????? ?????? ???? ???	?????? ?????? ???? ??	155	mudra vinimay kahaan hai?	mudra vinimay kahaan hai	156												
Do you have a map?	Do you have a map	157	Você tem um mapa?	Você tem um mapa?	Você tem um mapa	158	???? ???????? ??? ????? ????	???? ???????? ??? ????? ???	159	kya tumhaare paas naksha hain?	kya tumhaare paas naksha hain	160												
I am staying at a hotel. 	I am staying at a hotel	161	Eu estou hospedado em um hotel.	Eu estou hospedado em um hotel.	Eu estou hospedado em um hotel	162	??? ?? ???? ??? ???? ????	??? ?? ???? ??? ???? ???	163	main ek hotal mein thahara hoon.	main ek hotal mein thahara hoon	164												
I am visiting family.	I am visiting family	165	Eu estou visitando a família.	Eu estou visitando a família.	Eu estou visitando a família	166	??? ?????? ?? ???? ?? ??? ????	??? ?????? ?? ???? ?? ??? ???	167	main parivaar ka daura kar raha hoon.	main parivaar ka daura kar raha hoon	168												
I will be here for a few days.	I will be here for a few days	169	Eu estarei aqui por alguns dias.	Eu estarei aqui por alguns dias.	Eu estarei aqui por alguns dias	170	??? ??? ????? ?? ??? ???? ???????	??? ??? ????? ?? ??? ???? ??????	171	main kuchh dinon ke lie yahaan rahoonga.	main kuchh dinon ke lie yahaan rahoonga	172												
I will be here for a week.	I will be here for a week	173	Eu estarei aqui por uma semana.	Eu estarei aqui por uma semana.	Eu estarei aqui por uma semana	174	??? ?? ?????? ?? ??? ???? ???????	??? ?? ?????? ?? ??? ???? ??????	175	main ek saptaah ke lie yahaan rahoonga.	main ek saptaah ke lie yahaan rahoonga	176												
I will be here for a few weeks.	I will be here for a few weeks	177	Eu estarei aqui por algumas semanas.	Eu estarei aqui por algumas semanas.	Eu estarei aqui por algumas semanas	178	??? ??? ?????? ?? ??? ???? ???????	??? ??? ?????? ?? ??? ???? ??????	179	main kuchh haphton ke lie yahaan rahoonga.	main kuchh haphton ke lie yahaan rahoonga	180												
I am traveling for work. 	I am traveling for work	181	Eu estou viajando para o trabalho.	Eu estou viajando para o trabalho.	Eu estou viajando para o trabalho	182	??? ??? ?? ??? ?????? ?? ??? ????	??? ??? ?? ??? ?????? ?? ??? ???	183	main kaam ke lie yaatra kar raha hoon.	main kaam ke lie yaatra kar raha hoon	184												
I am traveling for leisure.	I am traveling for leisure	185	Eu estou viajando a lazer.	Eu estou viajando a lazer.	Eu estou viajando a lazer	186	??? ????? ?? ??? ?????? ?? ??? ????	??? ????? ?? ??? ?????? ?? ??? ???	187	main avakaash ke lie yaatra kar raha hoon.	main avakaash ke lie yaatra kar raha hoon	188												
I have a connecting flight.	I have a connecting flight	189	Eu tenho um voo de conexão.	Eu tenho um voo de conexão.	Eu tenho um voo de conexão	190	???? ????????? ?????? ???	???? ????????? ?????? ??	191	meree kanekting phlait hai.	meree kanekting phlait hai	192												
What time is it?	What time is it	193	Que horas são?	Que horas são?	Que horas são	194	???? ??? ??? ???	???? ??? ??? ??	195	kya samay hua hai?	kya samay hua hai	196												
May I purchase headphones?	May I purchase headphones	197	Posso comprar fones de ouvido?	Posso comprar fones de ouvido?	Posso comprar fones de ouvido	198	???? ??? ??????? ???? ???? ????	???? ??? ??????? ???? ???? ???	199	kya main hedafon khareed sakata hoon?	kya main hedafon khareed sakata hoon	200												
May I have something to drink?	May I have something to drink	201	Posso ter algo para beber?	Posso ter algo para beber?	Posso ter algo para beber	202	???? ???? ??? ???? ???	???? ???? ??? ???? ??	203	kya mujhe kuchh peena hai?	kya mujhe kuchh peena hai	204												
May I have something to eat?	May I have something to eat	205	Posso comer alguma coisa?	Posso comer alguma coisa?	Posso comer alguma coisa	206	???? ???? ??? ???? ?? ??? ??? ?? ???? ???	???? ???? ??? ???? ?? ??? ??? ?? ???? ??	207	kya mere paas khaane ke lie kuchh ho sakata hai?	kya mere paas khaane ke lie kuchh ho sakata hai	208												
Are meals included?	Are meals included	209	As refeições estão incluídas?	As refeições estão incluídas?	As refeições estão incluídas	210	???? ???? ????? ????	???? ???? ????? ???	211	kya bhojan shaamil hain?	kya bhojan shaamil hain	212												
How much does the magazine cost?	How much does the magazine cost	213	Quanto custa a revista?	Quanto custa a revista?	Quanto custa a revista	214	??????? ?? ???? ????? ???	??????? ?? ???? ????? ??	215	patrika kee laagat kitanee hai?	patrika kee laagat kitanee hai	216												
Where is the restroom?	Where is the restroom	217	Onde é o banheiro?	Onde é o banheiro?	Onde é o banheiro	218	?????????? ???? ???	?????????? ???? ??	219	vishraamagrh kahaan hai?	vishraamagrh kahaan hai	220												
Where is my gate?	Where is my gate	221	Onde está o meu portão?	Onde está o meu portão?	Onde está o meu portão	222	???? ??? ???? ???	???? ??? ???? ??	223	mera get kahaan hai?	mera get kahaan hai	224												
What airline am I flying?	What airline am I flying	225	Qual companhia aérea estou voando?	Qual companhia aérea estou voando?	Qual companhia aérea estou voando	226	??? ??? ??????? ?? ????? ?? ??? ????	??? ??? ??????? ?? ????? ?? ??? ???	227	main kis eyaralain kee udaan bhar raha hoon?	main kis eyaralain kee udaan bhar raha hoon	228												
What time is my flight?	What time is my flight	229	A que horas é o meu voo?	A que horas é o meu voo?	A que horas é o meu voo	230	???? ????? ?? ??? ???? ???	???? ????? ?? ??? ???? ??	231	meree udaan ka samay kya hai?	meree udaan ka samay kya hai	232												
I would like some food.	I would like some food	233	Eu gostaria de um pouco de comida.	Eu gostaria de um pouco de comida.	Eu gostaria de um pouco de comida	234	???? ??? ???? ??????	???? ??? ???? ?????	235	mujhe kuchh khaana chaahie.	mujhe kuchh khaana chaahie	236												
How are you?	How are you	237	Como você está?	Como você está?	Como você está	238	???? ??? ???	???? ??? ??	239	kya haal hai?	kya haal hai	240												
How is it going?	How is it going	241	Como vão as coisas?	Como vão as coisas?	Como vão as coisas	242	???? ?? ??? ???	???? ?? ??? ??	243	kaisa chal raha hai?	kaisa chal raha hai	244												
Hello.	Hello	245	Olá.	Olá.	Olá	246	???????	??????	247	namaste.	namaste	248												
Hi.	Hi	249	Oi.	Oi.	Oi	250	???????	??????	251	namaste.	namaste	248												
Hey.	Hey	253	Ei.	Ei.	Ei	254	????	???	255	are.	are	256												
Good morning.	Good morning	257	Bom Dia.	Bom Dia.	Bom Dia	258	??? ???????	??? ??????	259	shubh prabhaat.	shubh prabhaat	260												
Good afternoon.	Good afternoon	261	Boa tarde.	Boa tarde.	Boa tarde	262	????????	???????	263	namaskaar.	namaskaar	264												
Good evening.	Good evening	265	Boa noite.	Boa noite.	Boa noite	266	?????????	????????	267	susandhya.	susandhya	268												
Good night.	Good night	269	Boa noite.	Boa noite.	Boa noite	266	??? ???????	??? ??????	267	shubh raatri.	shubh raatri	272												
I love the feeling of fingers running through my hair.	I love the feeling of fingers running through my hair	273	Eu amo a sensação de dedos correndo pelo meu cabelo.	Eu adoro Cafuné.	Eu adoro Cafuné	274	???? ???? ????? ??? ???????? ????? ?? ????? ???? ???? ???	???? ???? ????? ??? ???????? ????? ?? ????? ???? ???? ??	275	mujhe apane baalon mein ungaliyaan chalaane ka ehasaas bahut pasand hai.	mujhe apane baalon mein ungaliyaan chalaane ka ehasaas bahut pasand hai	276												
You hit one out of the park.	You hit one out of the park	277	Você bateu um fora do parque.	Você foi ótimo.	Você foi ótimo	278	???? ????? ?? ???? ?? ?????	???? ????? ?? ???? ?? ????	279	aapane paark ke baahar ek maara.	aapane paark ke baahar ek maara	280												
You did great.	You did great	281	Você foi ótimo.	Você foi ótimo.	Você foi ótimo	278	????? ???? ????? ?????	????? ???? ????? ????	279	tumane bahut achchha kiya.	tumane bahut achchha kiya	280												
Where is tourist information?	Where is tourist information	285	Onde está a informação turística?	Onde está a informação turística?	Onde está a informação turística	286	???????? ?? ??????? ???? ???	???????? ?? ??????? ???? ??	287	paryatakon kee jaanakaaree kahaan hai?	paryatakon kee jaanakaaree kahaan hai	288												
Where can I get my baggage?	Where can I get my baggage	289	Onde posso obter a minha bagagem?	Onde posso obter a minha bagagem?	Onde posso obter a minha bagagem	290	???? ???? ????? ???? ?? ???????	???? ???? ????? ???? ?? ??????	291	mujhe apana saamaan kahaan par milega?	mujhe apana saamaan kahaan par milega	292												
I have to catch a connecting flight.	I have to catch a connecting flight	293	Eu tenho que pegar um vôo de conexão.	Eu tenho que pegar um vôo de conexão.	Eu tenho que pegar um vôo de conexão	294	???? ????????? ?????? ?????? ???	???? ????????? ?????? ?????? ??	295	mujhe kanekting phlait pakadanee hai.	mujhe kanekting phlait pakadanee hai	296												
Which way is that?	Which way is that	297	Qual é o caminho?	Qual é o caminho?	Qual é o caminho	298	??? ?? ????? ???	??? ?? ????? ??	299	kaun sa tareeka hai?	kaun sa tareeka hai	300												
I just missed my connecting flight.	I just missed my connecting flight	301	Eu perdi meu voo de conexão.	Eu perdi meu voo de conexão.	Eu perdi meu voo de conexão	302	????? ???? ????????? ?????? ?? ??? ?? ?????	????? ???? ????????? ?????? ?? ??? ?? ????	303	mainne apanee kanekting phlait ko mis kar diya.	mainne apanee kanekting phlait ko mis kar diya	304												
"Excuse me, Where is this boarding gate?"	"Excuse me, Where is this boarding gate"	305	"Com licença, onde está esse portão de embarque?"	"Com licença, onde está esse portão de embarque?"	"Com licença, onde está esse portão de embarque"	306	"??? ?????, ?? ???????? ??? ???? ???"	"??? ?????, ?? ???????? ??? ???? ??"	307	"maaph keejie, yah bording get kahaan hai?"	"maaph keejie, yah bording get kahaan hai"	308												
Can you recommend a hotel?	Can you recommend a hotel	309	Você pode recomendar um hotel?	Você pode recomendar um hotel?	Você pode recomendar um hotel	310	???? ?? ???? ?? ??????? ?? ???? ????	???? ?? ???? ?? ??????? ?? ???? ???	311	kya aap hotal kee siphaarish kar sakate hain?	kya aap hotal kee siphaarish kar sakate hain	312												
Is there a smoking area?	Is there a smoking area	313	Existe uma área para fumantes?	Existe uma área para fumantes?	Existe uma área para fumantes	314	???? ??? ???????? ??????? ???	???? ??? ???????? ??????? ??	315	kya koee dhoomrapaan kshetr hai?	kya koee dhoomrapaan kshetr hai	316												
Is there a bus to the city?	Is there a bus to the city	317	Existe um ônibus para a cidade?	Existe um ônibus para a cidade?	Existe um ônibus para a cidade	318	???? ??? ?? ??? ?? ?? ???	???? ??? ?? ??? ?? ?? ??	319	kya shahar ke lie ek bas hai?	kya shahar ke lie ek bas hai	320												
Where is the taxi stand?	Where is the taxi stand	321	Onde fica o ponto de táxi?	Onde fica o ponto de táxi?	Onde fica o ponto de táxi	322	?????? ?????? ???? ???	?????? ?????? ???? ??	323	taiksee staind kahaan hai?	taiksee staind kahaan hai	324												
Could you recommend a hotel in downtown? 	Could you recommend a hotel in downtown	325	Você poderia recomendar um hotel no centro da cidade?	Você poderia recomendar um hotel no centro da cidade?	Você poderia recomendar um hotel no centro da cidade	326	?? ??? ??? ?? ???? ?? ??????? ?? ???? ????	?? ??? ??? ?? ???? ?? ??????? ?? ???? ???	327	aap shahar mein ek hotal kee siphaarish kar sakate hain?	aap shahar mein ek hotal kee siphaarish kar sakate hain	328												
How much does it cost to take a taxi to this address?	How much does it cost to take a taxi to this address	329	Quanto custa pegar um táxi para esse endereço?	Quanto custa pegar um táxi para esse endereço?	Quanto custa pegar um táxi para esse endereço	330	?? ??? ?? ?????? ???? ??? ????? ???? ???? ???	?? ??? ?? ?????? ???? ??? ????? ???? ???? ??	331	is pate par taiksee lene mein kitana kharch hota hai?	is pate par taiksee lene mein kitana kharch hota hai	332												
"Take me to this address, please."	"Take me to this address, please"	333	Leve-me até este endereço por favor.	Leve-me até este endereço por favor.	Leve-me até este endereço por favor	334	????? ???? ?? ??? ?? ?? ?????	????? ???? ?? ??? ?? ?? ????	335	krpaya mujhe is pate par le chalie.	krpaya mujhe is pate par le chalie	336												
"Hilton hotel, please."	"Hilton hotel, please"	337	"Hotel Hilton, por favor."	"Hotel Hilton, por favor."	"Hotel Hilton, por favor"	338	"?????? ????, ??????"	"?????? ????, ?????"	339	"hiltan hotal, krpaya."	"hiltan hotal, krpaya"	340												
Let me off here.	Let me off here	341	Me deixe sair daqui.	Me deixe sair daqui.	Me deixe sair daqui	342	???? ???? ???? ???	???? ???? ???? ??	343	mujhe yahaan chhod do.	mujhe yahaan chhod do	344												
Anywhere around here is fine.	Anywhere around here is fine	345	Qualquer lugar por aqui está bem.	Qualquer lugar por aqui está bem.	Qualquer lugar por aqui está bem	346	???? ????? ???? ?? ??? ???	???? ????? ???? ?? ??? ??	347	yahaan aasapaas kaheen bhee theek hai.	yahaan aasapaas kaheen bhee theek hai	348												
Keep the change. 	Keep the change	349	Fique com o troco.	Fique com o troco.	Fique com o troco	350	?????? ?? ???	?????? ?? ??	351	chhutte rakh lo.	chhutte rakh lo	352												
I would like to book a room.	I would like to book a room	353	Eu gostaria de reservar um quarto.	Eu gostaria de reservar um quarto.	Eu gostaria de reservar um quarto	354	??? ?? ???? ??? ???? ????????	??? ?? ???? ??? ???? ???????	355	main ek kamara buk karana chaahoonga.	main ek kamara buk karana chaahoonga	356												
I'd like a single room.	I'd like a single room	357	Gostaria de um quarto individual.	Gostaria de um quarto individual.	Gostaria de um quarto individual	358	???? ?? ????? ???? ??????	???? ?? ????? ???? ?????	359	mujhe ek singal kamara chaahie.	mujhe ek singal kamara chaahie	360												
I'd like to book a double room for 3 nights.	I'd like to book a double room for 3 nights	361	Eu gostaria de reservar um quarto duplo por 3 noites.	Eu gostaria de reservar um quarto duplo por 3 noites.	Eu gostaria de reservar um quarto duplo por 3 noites	362	??? 3 ????? ?? ??? ?? ??? ???? ??? ???? ????? ????	??? 3 ????? ?? ??? ?? ??? ???? ??? ???? ????? ???	363	main 3 raaton ke lie ek dabal kamara buk karana chaahata hoon.	main 3 raaton ke lie ek dabal kamara buk karana chaahata hoon	364												
How much is a double room per night?	How much is a double room per night	365	Quanto custa um quarto duplo por noite?	Quanto custa um quarto duplo por noite?	Quanto custa um quarto duplo por noite	366	????? ??? ?? ??? ???? ????? ???	????? ??? ?? ??? ???? ????? ??	367	prati raat ek dabal kamara kitana hai?	prati raat ek dabal kamara kitana hai	368												
