English Phrase		English Phrase ID	Portuguese Google Translation	Portuguese Suggested Translation		Portuguese Suggested Translation ID	Hindi Google 1	Hindi Google 1 ID		Hindi Google 2	Hindi Google 2 ID	Hindi Google 2 ID	Insert 1	Insert 2	Insert 3	Insert 4	Insert 5	Insert 6	Insert 1	Insert 2	Insert 3	Insert 4	Insert 5	Insert 6
I'd like a room with a nice view.	I'd like a room with a nice view	369	Eu gostaria de um quarto com uma bela vista.	Eu gostaria de um quarto com uma bela vista.	Eu gostaria de um quarto com uma bela vista	370	???? ?? ????? ????? ?? ??? ?? ???? ??????	???? ?? ????? ????? ?? ??? ?? ???? ?????	371	mujhe ek achchhe drshy ke saath ek kamara chaahie.	mujhe ek achchhe drshy ke saath ek kamara chaahie	372												
Can I have an extra bed for my room?	Can I have an extra bed for my room	373	Posso ter uma cama extra no meu quarto?	Posso ter uma cama extra no meu quarto?	Posso ter uma cama extra no meu quarto	374	???? ???? ???? ???? ?? ??? ?? ???????? ?????? ??? ???? ???	???? ???? ???? ???? ?? ??? ?? ???????? ?????? ??? ???? ??	375	kya mujhe apane kamare ke lie ek atirikt bistar mil sakata hai?	kya mujhe apane kamare ke lie ek atirikt bistar mil sakata hai	376												
I'm arriving late. Please keep my reservation.	I'm arriving late. Please keep my reservation	377	"Estou chegando atrasado. Por favor, mantenha minha reserva."	"Estou chegando atrasado. Por favor, mantenha minha reserva."	"Estou chegando atrasado. Por favor, mantenha minha reserva"	378	??? ??? ?? ????? ??? ??? ????? ???? ?????? ?????	??? ??? ?? ????? ??? ??? ????? ???? ?????? ????	379	main der se pahunch raha hoon krpaya mera aarakshan rakhen.	main der se pahunch raha hoon krpaya mera aarakshan rakhen	380												
When does the dining-room open?	When does the dining-room open	381	Quando a sala de jantar abre?	Quando a sala de jantar abre?	Quando a sala de jantar abre	382	???? ???? ?? ????? ???	???? ???? ?? ????? ??	383	bhojan kaksh kab khulata hai?	bhojan kaksh kab khulata hai	384												
When is breakfast served?	When is breakfast served	385	Quando o café da manhã será servido?	Quando o café da manhã será servido?	Quando o café da manhã será servido	386	?????? ?? ??? ???? ???? ???	?????? ?? ??? ???? ???? ??	387	naashta kab pesh kiya jaata hai?	naashta kab pesh kiya jaata hai	388												
Where can I keep my valuables?	Where can I keep my valuables	389	Onde posso guardar meus objetos de valor?	Onde posso guardar meus objetos de valor?	Onde posso guardar meus objetos de valor	390	??? ???? ????? ????? ???? ?? ???? ????	??? ???? ????? ????? ???? ?? ???? ???	391	main apana keematee saamaan kahaan rakh sakata hoon?	main apana keematee saamaan kahaan rakh sakata hoon	392												
"I'd like to order room service, please."	"I'd like to order room service, please"	393	"Eu gostaria de pedir serviço de quarto, por favor."	"Eu gostaria de pedir serviço de quarto, por favor."	"Eu gostaria de pedir serviço de quarto, por favor"	394	"???? ??? ?????? ????? ???? ??, ??????"	"???? ??? ?????? ????? ???? ??, ?????"	395	"mujhe room sarvis ordar karana hai, krpaya."	"mujhe room sarvis ordar karana hai, krpaya"	396												
I would like to have a wake-up call at 5:30.	I would like to have a wake-up call at 5:30	397	Eu gostaria de ter uma chamada de despertar às 5:30.	Eu gostaria de ter uma chamada de despertar às 5:30.	Eu gostaria de ter uma chamada de despertar às 5:30	398	??? 5:30 ??? ???? ????????	??? 5:30 ??? ???? ???????	399	main 5:30 baje uthana chaahoonga.	main 5:30 baje uthana chaahoonga	400												
What is the check-out time at this hotel?	What is the check-out time at this hotel	401	Qual é o horário do check-out neste hotel?	Qual é o horário do check-out neste hotel?	Qual é o horário do check-out neste hotel	402	?? ???? ??? ???-??? ?? ??? ???? ???	?? ???? ??? ???-??? ?? ??? ???? ??	403	is hotal mein chek-aaut ka samay kya hai?	is hotal mein chek-aaut ka samay kya hai	404												
Do you have a bus service to and from the airport?	Do you have a bus service to and from the airport	405	Você tem um serviço de ônibus para o aeroporto?	Você tem um serviço de ônibus para o aeroporto?	Você tem um serviço de ônibus para o aeroporto	406	???? ???? ??? ???? ????? ?? ???? ?? ??? ?? ??? ?? ???? ???	???? ???? ??? ???? ????? ?? ???? ?? ??? ?? ??? ?? ???? ??	407	kya aapake paas havaee adde se jaane aur aane ke lie bas seva hai?	kya aapake paas havaee adde se jaane aur aane ke lie bas seva hai	408												
Could you show me my room?	Could you show me my room	409	Você poderia me mostrar o meu quarto?	Você poderia me mostrar o meu quarto?	Você poderia me mostrar o meu quarto	410	???? ?? ???? ???? ???? ???? ???? ????	???? ?? ???? ???? ???? ???? ???? ???	411	kya aap mujhe apana kamara dikha sakate hain?	kya aap mujhe apana kamara dikha sakate hain	412												
Where is the elevator?	Where is the elevator	413	Onde fica o elevador?	Onde fica o elevador?	Onde fica o elevador	414	????? ???? ???	????? ???? ??	415	lipht kahaan hai?	lipht kahaan hai	416												
Where is the emergency exit?	Where is the emergency exit	417	Onde é a saída de emergência?	Onde é a saída de emergência?	Onde é a saída de emergência	418	????????? ????? ???? ?? ???	????????? ????? ???? ?? ??	419	aapaatakaaleen nikaas kahaan par hai?	aapaatakaaleen nikaas kahaan par hai	420												
The bed sheets are dirty.	The bed sheets are dirty	421	Os lençóis da cama são sujos.	Os lençóis da cama são sujos.	Os lençóis da cama são sujos	422	?????? ?? ?????? ???? ????	?????? ?? ?????? ???? ???	423	bistar kee chaadaren gandee hain.	bistar kee chaadaren gandee hain	424												
There is no hot water in my room.	There is no hot water in my room	425	Não há água quente no meu quarto.	Não há água quente no meu quarto.	Não há água quente no meu quarto	426	???? ???? ??? ???? ???? ???? ???	???? ???? ??? ???? ???? ???? ??	427	mere kamare mein garm paanee nahin hai.	mere kamare mein garm paanee nahin hai	428												
Where can I get some ice?	Where can I get some ice	429	Onde posso obter gelo?	Onde posso obter gelo?	Onde posso obter gelo	430	???? ??? ???? ???? ??? ???? ???	???? ??? ???? ???? ??? ???? ??	431	mujhe kuchh barph kahaan mil sakatee hai?	mujhe kuchh barph kahaan mil sakatee hai	432												
The air conditioner is not working.	The air conditioner is not working	433	O ar condicionado não está funcionando.	O ar condicionado não está funcionando.	O ar condicionado não está funcionando	434	??? ??????? ??? ???? ?? ??? ???	??? ??????? ??? ???? ?? ??? ??	435	eyar kandeeshanar kaam nahin kar raha hai.	eyar kandeeshanar kaam nahin kar raha hai	436												
I would like to check out.	I would like to check out	437	Gostaria de fazer check-out.	Gostaria de fazer check-out.	Gostaria de fazer check-out	438	???? ??? ??? ???? ???	???? ??? ??? ???? ??	439	mujhe chek aaut karana hai.	mujhe chek aaut karana hai	440												
May I try this on?	May I try this on	441	Posso experimentar isso?	Posso experimentar isso?	Posso experimentar isso	442	???? ??? ?? ?? ????? ?? ???? ????	???? ??? ?? ?? ????? ?? ???? ???	443	kya main is par koshish kar sakata hoon?	kya main is par koshish kar sakata hoon	444												
Can I pay by credit card?	Can I pay by credit card	445	Posso pagar com cartão de crédito?	Posso pagar com cartão de crédito?	Posso pagar com cartão de crédito	446	???? ?? ??????? ????? ?????? ?????? ?? ???? ????	???? ?? ??????? ????? ?????? ?????? ?? ???? ???	447	kya ham kredit kaard dvaara bhugataan kar sakate hain?	kya ham kredit kaard dvaara bhugataan kar sakate hain	448												
It's too expensive.	It's too expensive	449	É muito caro.	É muito caro.	É muito caro	450	?? ???? ????? ???	?? ???? ????? ??	451	yah bahut mahanga hai.	yah bahut mahanga hai	452												
Is this your final price?	Is this your final price	453	Este é o seu preço final?	Este é o seu preço final?	Este é o seu preço final	454	???? ?? ???? ????? ???? ???	???? ?? ???? ????? ???? ??	455	kya yah aapakee antim keemat hai?	kya yah aapakee antim keemat hai	456												
I'll take this one.	I'll take this one	457	Eu vou pegar esse aqui	Eu vou pegar esse aqui.	Eu vou pegar esse aqui	458	??? ??? ?? ??????	??? ??? ?? ?????	459	main ise le jaoonga	main ise le jaoong	460												
Where is the cashier?	Where is the cashier	461	Onde está o caixa?	Onde está o caixa?	Onde está o caixa	462	?????? ???? ???	?????? ???? ??	463	kaishiyar kahaan hai?	kaishiyar kahaan hai	464												
Where can I change money.	Where can I change money	465	Onde posso trocar dinheiro.	Onde posso trocar dinheiro.	Onde posso trocar dinheiro	466	??? ????? ?? ?????? ???? ?? ???? ????	??? ????? ?? ?????? ???? ?? ???? ???	467	main paison ka vinimay kahaan kar sakata hoon.	main paison ka vinimay kahaan kar sakata hoon	468												
Is there an ATM machine around here?	Is there an ATM machine around here	469	Existe um caixa eletrônico por aqui?	Existe um caixa eletrônico por aqui?	Existe um caixa eletrônico por aqui	470	???? ???-??? ????? ???? ???	???? ???-??? ????? ???? ??	471	kya idhar-udhar eteeem masheen hai?	kya idhar-udhar eteeem masheen hai	472												
Are you sure?	Are you sure	473	Você tem certeza?	Você tem certeza?	Você tem certeza	474	???? ???? ???? ???	???? ???? ???? ??	475	kya aapako yakeen hai?	kya aapako yakeen hai	476												
Are you used to the weather?	Are you used to the weather	477	Você está acostumado com o clima?	Você está acostumado com o clima?	Você está acostumado com o clima	478	???? ?? ???? ?? ??????? ????	???? ?? ???? ?? ??????? ???	479	kya aap mausam ke abhyast hain?	kya aap mausam ke abhyast hain	480												
As far as I am concerned.	As far as I am concerned	481	Tanto quanto eu estou preocupado.	Tanto quanto eu estou preocupado.	Tanto quanto eu estou preocupado	482	???? ?? ???? ????? ???	???? ?? ???? ????? ??	483	jahaan tak mera sambandh hai.	jahaan tak mera sambandh hai	484												
Be careful with that. 	Be careful with that	485	Tenha cuidado com isso.	Tenha cuidado com isso.	Tenha cuidado com isso	486	???? ?????? ?????	???? ?????? ????	487	usase saavadhaan rahen.	usase saavadhaan rahen	488												
By the way.	By the way	489	A propósito.	A propósito.	A propósito	490	?????	????	491	vaise.	vaise	492												
Don't worry.	Don't worry	493	Não se preocupe.	Não se preocupe.	Não se preocupe	494	????? ?? ????	????? ?? ???	495	chinta mat karo.	chinta mat karo	496												
Don't panic.	Don't panic	497	Não entre em pânico.	Não entre em pânico.	Não entre em pânico	498	????? ???	????? ??	499	ghabarao mat.	ghabarao mat	500												
Do you agree?	Do you agree	501	Você concorda?	Você concorda?	Você concorda	502	???? ?? ???? ????	???? ?? ???? ???	503	kya aap sahamat hain?	kya aap sahamat hain	504												
Do you carry this in different sizes?	Do you carry this in different sizes	505	Você carrega isso em tamanhos diferentes?	Você carrega isso em tamanhos diferentes?	Você carrega isso em tamanhos diferentes	506	???? ?? ??? ??????? ?????? ??? ?? ???? ????	???? ?? ??? ??????? ?????? ??? ?? ???? ???	507	kya aap ise vibhinn aakaaron mein le jaate hain?	kya aap ise vibhinn aakaaron mein le jaate hain	508												
Do you mind?	Do you mind	509	Você se importa?	Você se importa?	Você se importa	510	??? ???? ??????? ?? ?? ???	??? ???? ??????? ?? ?? ??	511	agar aapako pareshaanee na ho to?	agar aapako pareshaanee na ho to	512												
Should we?	Should we	513	Nós deveríamos?	Nós deveríamos?	Nós deveríamos	514	???? ?????	???? ????	515	kya hamen?	kya hamen	516												
Help yourself!	Help yourself	517	Fique a vontade!	Fique a vontade!	Fique a vontade	518	???? ?????? ??????!	???? ?????? ??????	519	apanee sahaayata keejiye!	apanee sahaayata keejiye	520												
How about you?	How about you	521	E quanto a você?	E quanto a você?	E quanto a você	522	?? ???? ????	?? ???? ???	523	aap kaise hain?	aap kaise hain	524												
How come?	How come	525	Por quê?	Por quê?	Por quê	526	??? ?????	??? ????	527	aisa kaise?	aisa kaise	528												
How do you like it?	How do you like it	529	Como é que você gosta?	Como é que você gosta?	Como é que você gosta	530	?????? ?? ???? ????	?????? ?? ???? ???	531	tumhe yah kaisa laga?	tumhe yah kaisa laga	532												
How long does it take?	How long does it take	533	Quanto tempo leva?	Quanto tempo leva?	Quanto tempo leva	534	????? ????? ??? ???? ???	????? ????? ??? ???? ??	535	isamen kitana samay lagata hai?	isamen kitana samay lagata hai	536												
How often?	How often	537	Com que frequência?	Com que frequência?	Com que frequência	538	????? ????	????? ???	539	kitanee baar?	kitanee baar	540												
I bet.	I bet	541	Eu aposto.	Eu aposto.	Eu aposto	542	?? ???? ????? ???	?? ???? ????? ??	543	mai shart lagaata hu.	mai shart lagaata hu	544												
I can hardly believe that.	I can hardly believe that	545	Eu mal posso acreditar nisso.	Eu mal posso acreditar nisso.	Eu mal posso acreditar nisso	546	???? ???? ?? ?? ??? ?? ???? ???	???? ???? ?? ?? ??? ?? ???? ??	547	mujhe shaayad hee is baat par yakeen ho.	mujhe shaayad hee is baat par yakeen ho	548												
I can't help.	I can't help	549	Não posso ajudar.	Não posso ajudar.	Não posso ajudar	550	??? ??? ???? ?? ????	??? ??? ???? ?? ???	551	main madad nahin kar sakata	main madad nahin kar sakat	552												
I can't say.	I can't say	553	Eu não posso dizer.	Eu não posso dizer.	Eu não posso dizer	554	??? ???? ?? ????	??? ???? ?? ???	555	main nahin kah sakata	main nahin kah sakat	556												
I cannot wait!	I cannot wait	557	Eu não posso esperar!	Eu não posso esperar!	Eu não posso esperar	558	??? ??????? ???? ?? ????!	??? ??????? ???? ?? ????	559	main intazaar nahin kar sakata!	main intazaar nahin kar sakata	560												
I have no idea.	I have no idea	561	Eu não faço ideia.	Eu não faço ideia.	Eu não faço ideia	562	???? ??? ???? ???	???? ??? ???? ??	563	mujhe pata nahin hai.	mujhe pata nahin hai	564												
I have got to go.	I have got to go	565	Eu tenho que ir.	Eu tenho que ir.	Eu tenho que ir	566	???? ???? ?????	???? ???? ????	567	mujhe jaana hoga.	mujhe jaana hoga	568												
I'll let you know.	I'll let you know	569	Eu aviso você.	Eu aviso você.	Eu aviso você	570	??? ???? ??? ??????	??? ???? ??? ?????	571	main aapako bata doonga.	main aapako bata doonga	572												
I'd be grateful.	I'd be grateful	573	Eu ficaria grato.	Eu ficaria grato.	Eu ficaria grato	574	??? ????? ??????	??? ????? ?????	575	main aabhaaree rahoonga	main aabhaaree rahoong	576												
I'm afraid.	I'm afraid	577	Estou com medo.	Estou com medo.	Estou com medo	578	???? ?? ?? ??? ???	???? ?? ?? ??? ??	579	mujhe dar lag raha hai.	mujhe dar lag raha hai	580												
I'm looking forward to it!	I'm looking forward to it	581	Estou ansioso para isso!	Estou ansioso para isso!	Estou ansioso para isso	582	??? ???? ??? ??? ??? ???!	??? ???? ??? ??? ??? ???	583	main isakee raah dekh raha hoon!	main isakee raah dekh raha hoon	584												
I'm not really happy with that.	I'm not really happy with that	585	Eu não estou muito feliz com isso.	Eu não estou muito feliz com isso.	Eu não estou muito feliz com isso	586	??? ?????? ??? ???? ??? ???? ????	??? ?????? ??? ???? ??? ???? ???	587	main vaastav mein isase khush nahin hoon.	main vaastav mein isase khush nahin hoon	588												
It's my fault.	It's my fault	589	É minha culpa.	É minha culpa.	É minha culpa	590	?? ???? ???? ???	?? ???? ???? ??	591	yah meree galatee hai.	yah meree galatee hai	592												
It's on the tip of my tongue.	It's on the tip of my tongue	593	Está na ponta da língua.	Está na ponta da língua.	Está na ponta da língua	594	?? ???? ????? ??? ???	?? ???? ????? ??? ??	595	yah mujhe jabaanee yaad hai.	yah mujhe jabaanee yaad hai	596												
It's up to you.	It's up to you	597	Você decide.	Você decide.	Você decide	598	?? ?? ?? ?????? ???? ???	?? ?? ?? ?????? ???? ??	599	yah aap par nirbhar karata hai.	yah aap par nirbhar karata hai	600												
It's your turn.	It's your turn	601	É sua vez.	É sua vez.	É sua vez	602	?? ???? ???? ???	?? ???? ???? ??	603	yah aapakee baaree hai.	yah aapakee baaree hai	604												
It may surprise you.	It may surprise you	605	Pode te surpreender.	Pode te surpreender.	Pode te surpreender	606	?? ???? ??????????? ?? ???? ???	?? ???? ??????????? ?? ???? ??	607	yah aapako aashcharyachakit kar sakata hai.	yah aapako aashcharyachakit kar sakata hai	608												
I've had enough.	I've had enough	609	Eu já tive o suficiente	Eu já tive o suficiente	Eu já tive o suficient	610	????? ???? ?????	????? ???? ????	611	mainne bahut kiya.	mainne bahut kiya	612												
On the other hand.	On the other hand	613	Por outro lado.	Por outro lado.	Por outro lado	614	????? ???	????? ??	615	doosaree or.	doosaree or	616												
See that?	See that	617	Veja isso?	Veja isso?	Veja isso	618	????? ?? ???	????? ?? ??	619	dekhana hai ki?	dekhana hai ki	620												
There is nothing I like better.	There is nothing I like better	621	Não há nada que eu goste melhor.	Não há nada que eu goste melhor.	Não há nada que eu goste melhor	622	??? ??? ???? ?? ?? ???? ????? ????	??? ??? ???? ?? ?? ???? ????? ???	623	aisa kuchh nahin hai jo mujhe behatar lage.	aisa kuchh nahin hai jo mujhe behatar lage	624												
We might as well.	We might as well	625	Nós também podemos.	Nós também podemos.	Nós também podemos	626	?? ?? ?????	?? ?? ????	627	ham bhee shaayad.	ham bhee shaayad	628												
What can I do for you?	What can I do for you	629	O que posso fazer para você?	O que posso fazer para você?	O que posso fazer para você	630	?? ?? ?? ???? ??? ?? ???? ???	?? ?? ?? ???? ??? ?? ???? ??	631	mai aap ke liye ky kar sakt hu?	mai aap ke liye ky kar sakt hu	632												
What do you say?	What do you say	633	O que você disse?	O que você disse?	O que você disse	634	?? ???? ???? ????	?? ???? ???? ???	635	aap kya kahate hain?	aap kya kahate hain	636												
What's your favorite?	What's your favorite	637	Qual é o seu favorito?	Qual é o seu favorito?	Qual é o seu favorito	638	???? ??????? ???? ???	???? ??????? ???? ??	639	aapaka pasandeeda kya hai?	aapaka pasandeeda kya hai	640												
He is ill in bed.	He is ill in bed	641	Ele está doente na cama.	Ele está doente na cama.	Ele está doente na cama	642	?? ?????? ??? ????? ???	?? ?????? ??? ????? ??	643	vah bistar mein beemaar hai.	vah bistar mein beemaar hai	644												
I like ice-cream.	I like ice-cream	645	Eu gosto de sorvete.	Eu gosto de sorvete.	Eu gosto de sorvete	646	???? ???????? ???? ???	???? ???????? ???? ??	647	mujhe aaisakreem pasand hai.	mujhe aaisakreem pasand hai	648												
I love this game.	I love this game	649	Eu amo este jogo.	Eu amo este jogo.	Eu amo este jogo	650	???? ?? ??? ?? ????? ???	???? ?? ??? ?? ????? ??	651	mujhe is khel se pyaar hai.	mujhe is khel se pyaar hai	652												
I'll try my best.	I'll try my best	653	Eu vou tentar o meu melhor.	Eu vou tentar o meu melhor.	Eu vou tentar o meu melhor	654	??? ???? ????? ???????	??? ???? ????? ??????	655	main pooree koshish karoonga.	main pooree koshish karoonga	656												
I'm on your side.	I'm on your side	657	Estou no seu lado.	Estou no seu lado.	Estou no seu lado	658	??? ???????? ???? ????	??? ???????? ???? ???	659	main tumhaaree taraf hoon.	main tumhaaree taraf hoon	660												
"Easy come, easy go."	"Easy come, easy go"	661	"Assim como vem, também vai."	"Assim como vem, também vai."	"Assim como vem, também vai"	662	?? ????? ?? ????? ?? ?? ????? ?? ??? ?? ???? ???	?? ????? ?? ????? ?? ?? ????? ?? ??? ?? ???? ??	663	jo aasaanee se milata hai vo aasaanee se chala bhee jaata hai.	jo aasaanee se milata hai vo aasaanee se chala bhee jaata hai	664												
I'll check it out.	I'll check it out	665	Eu vou dar uma olhada.	Eu vou dar uma olhada.	Eu vou dar uma olhada	666	??? ??? ??? ??????	??? ??? ??? ?????	667	main ise dekh loonga.	main ise dekh loonga	668												
It's a long story.	It's a long story	669	É uma longa história.	É uma longa história.	É uma longa história	670	?? ?? ???? ????? ???	?? ?? ???? ????? ??	671	yah ek lambee kahaanee hai.	yah ek lambee kahaanee hai	672												
That's all I need.	That's all I need	673	Isso é tudo que preciso.	Isso é tudo que preciso.	Isso é tudo que preciso	674	???? ??? ?? ??????	???? ??? ?? ?????	675	mujhe yahee sab chaahie.	mujhe yahee sab chaahie	676												
The view is great.	The view is great	677	A vista é ótima.	A vista é ótima.	A vista é ótima	678	????? ???? ????? ???	????? ???? ????? ??	679	drshy bahut achchha hai.	drshy bahut achchha hai	680												
The walls have ears.	The walls have ears	681	As paredes têm ouvidos.	As paredes têm ouvidos.	As paredes têm ouvidos	682	??????? ?? ??? ????	??????? ?? ??? ???	683	deevaaron ke kaan hain.	deevaaron ke kaan hain	684												
Here comes a bus.	Here comes a bus	685	Aqui vem um ônibus.	Aqui vem um ônibus.	Aqui vem um ônibus	686	???? ?? ?? ??? ???	???? ?? ?? ??? ??	687	yahaan ek bas aatee hai.	yahaan ek bas aatee hai	688												
He is just a child.	He is just a child	689	Ele é apenas uma criança.	Ele é apenas uma criança.	Ele é apenas uma criança	690	?? ??? ????? ???	?? ??? ????? ??	691	vah abhee bachcha hai.	vah abhee bachcha hai	692												
It seems all right.	It seems all right	693	Parece tudo bem.	Parece tudo bem.	Parece tudo bem	694	?? ?? ??? ???? ???	?? ?? ??? ???? ??	695	yah sab theek lagata hai.	yah sab theek lagata hai	696												
That's a good idea.	That's a good idea	697	Essa é uma boa ideia.	Essa é uma boa ideia.	Essa é uma boa ideia	698	?? ?? ????? ????? ???	?? ?? ????? ????? ??	699	vah ek achchha vichaar hai.	vah ek achchha vichaar hai	700												
I am a football fan.	I am a football fan	701	Eu sou um fã de futebol.	Eu sou um fã de futebol.	Eu sou um fã de futebol	702	??? ?? ?????? ??????? ????	??? ?? ?????? ??????? ???	703	main ek phutabol prashansak hoon.	main ek phutabol prashansak hoon	704												
If only I could fly.	If only I could fly	705	Se eu pudesse voar.	Se eu pudesse voar.	Se eu pudesse voar	706	??? ???? ??? ??? ???? ???	??? ???? ??? ??? ???? ??	707	agar keval main ud sakata hai.	agar keval main ud sakata hai	708												
I'll be right there.	I'll be right there	709	Eu estarei lá.	Eu estarei lá.	Eu estarei lá	710	??? ???? ????? ???????	??? ???? ????? ??????	711	main vahaan maujood rahoonga.	main vahaan maujood rahoonga	712												
Knowledge is power.	Knowledge is power	713	Conhecimento é poder.	Conhecimento é poder.	Conhecimento é poder	714	????? ?? ????? ???	????? ?? ????? ??	715	gyaan hee shakti hai.	gyaan hee shakti hai	716												
We are good friends.	We are good friends	717	Nós somos bons amigos.	Nós somos bons amigos.	Nós somos bons amigos	718	?? ????? ????? ????	?? ????? ????? ???	719	ham achchhe mitr hain.	ham achchhe mitr hain	720												
He can't take a joke.	He can't take a joke	721	Ele não pode levar uma piada.	Ele não pode levar uma piada.	Ele não pode levar uma piada	722	?? ???? ???? ?? ?????	?? ???? ???? ?? ????	723	vah majaak nahin kar sakata.	vah majaak nahin kar sakata	724												
It's against the law.	It's against the law	725	É contra a lei.	É contra a lei.	É contra a lei	726	?? ????? ?? ??????? ???	?? ????? ?? ??????? ??	727	yah kaanoon ke virooddh hai.	yah kaanoon ke virooddh hai	728												
My mouth is watering.	My mouth is watering	729	Estou ficando com água na boca.	Estou ficando com água na boca.	Estou ficando com água na boca	730	???? ???? ??? ???? ? ??? ???	???? ???? ??? ???? ? ??? ??	731	mere munh mein paanee aa raha hai.	mere munh mein paanee aa raha hai	732												
"Speak louder, please."	"Speak louder, please"	733	Fale mais alto por favor.	Fale mais alto por favor.	Fale mais alto por favor	734	????? ??? ?? ???? ?????	????? ??? ?? ???? ????	735	krpaya jor se baate karen.	krpaya jor se baate karen	736												
"Speak slower, please."	"Speak slower, please"	737	"Falar mais devagar, por favor."	"Falar mais devagar, por favor."	"Falar mais devagar, por favor"	738	????? ???? - ???? ??????	????? ???? - ???? ?????	739	krpaya dheere - dheere bolie.	krpaya dheere - dheere bolie	740												
I will be more careful.	I will be more careful	741	Eu serei mais cuidadoso.	Eu serei mais cuidadoso.	Eu serei mais cuidadoso	742	??? ?? ??????????? ???????	??? ?? ??????????? ??????	743	main aur dhyaanapoorvak rahoonga.	main aur dhyaanapoorvak rahoonga	744												
I will never forget it.	I will never forget it	745	Eu nunca esquecerei.	Eu nunca esquecerei.	Eu nunca esquecerei	746	??? ??? ??? ???? ??? ???????	??? ??? ??? ???? ??? ??????	747	main ise kabhee nahin bhool paunga.	main ise kabhee nahin bhool paunga	748												
It is just what I need.	It is just what I need	749	É exatamente o que eu preciso.	É exatamente o que eu preciso.	É exatamente o que eu preciso	750	?? ??? ?? ?? ???? ??????	?? ??? ?? ?? ???? ?????	751	yah vahee hai jo mujhe chaahie.	yah vahee hai jo mujhe chaahie	752												
Let bygones be bygones.	Let bygones be bygones	753	Esquecer o passado.	Esquecer o passado.	Esquecer o passado	754	?? ?? ??? ?? ?? ????	?? ?? ??? ?? ?? ???	755	jo ho gaya so ho gaya.	jo ho gaya so ho gaya	756												
Great minds think alike.	Great minds think alike	757	Mentes brilhantes pensam igual.	Mentes brilhantes pensam igual.	Mentes brilhantes pensam igual	758	???? ?? ???? ??? ????? ????	???? ?? ???? ??? ????? ???	759	bade man vaale aisa sochate hain.	bade man vaale aisa sochate hain	760												
I walked across the park.	I walked across the park	761	Eu atravessei o parque.	Eu atravessei o parque.	Eu atravessei o parque	762	??? ????? ?? ??? ??? ????	??? ????? ?? ??? ??? ???	763	main paark bhar mein chala gaya.	main paark bhar mein chala gaya	764												
I'll just play it by ear.	I'll just play it by ear	765	Eu apenas tocarei de ouvido.	Eu apenas tocarei de ouvido.	Eu apenas tocarei de ouvido	766	??? ??? ??? ??? ?? ????????	??? ??? ??? ??? ?? ???????	767	main abhee ise kaan se bajaoonga.	main abhee ise kaan se bajaoonga	768												
I'm not sure I can do it.	I'm not sure I can do it	769	Não tenho certeza se posso fazer isso.	Não tenho certeza se posso fazer isso.	Não tenho certeza se posso fazer isso	770	???? ???? ???? ?? ?? ??? ?? ?? ???? ????	???? ???? ???? ?? ?? ??? ?? ?? ???? ???	771	mujhe yakeen nahin hai ki main yah kar sakata hoon.	mujhe yakeen nahin hai ki main yah kar sakata hoon	772												
I'm not used to drinking.	I'm not used to drinking	773	Eu não estou acostumado a beber.	Eu não estou acostumado a beber.	Eu não estou acostumado a beber	774	???? ???? ?? ??? ???? ???	???? ???? ?? ??? ???? ??	775	mujhe peene kee aadat nahin hai.	mujhe peene kee aadat nahin hai	776												
Let's not waste our time.	Let's not waste our time	777	Não vamos perder nosso tempo.	Não vamos perder nosso tempo.	Não vamos perder nosso tempo	778	???? ???? ??? ????? ???? ???? ???????	???? ???? ??? ????? ???? ???? ??????	779	hamen apana samay barabaad nahin karana chaahiye.	hamen apana samay barabaad nahin karana chaahiye	780												
Stop making noise.	Stop making noise	781	Pare de fazer barulho.	Pare de fazer barulho.	Pare de fazer barulho	782	??? ???? ??? ????	??? ???? ??? ???	783	shor karana band karo.	shor karana band karo	784												
That makes no difference.	That makes no difference	785	Isso não faz diferença.	Isso não faz diferença.	Isso não faz diferença	786	???? ??? ???? ???? ??????	???? ??? ???? ???? ?????	787	isase koee phark nahin padata.	isase koee phark nahin padata	788												
The price is reasonable.	The price is reasonable	789	O preço é razoável.	O preço é razoável.	O preço é razoável	790	???? ????? ???	???? ????? ??	791	keemat vaajib hai.	keemat vaajib hai	792												
I have a surprise for you.	I have a surprise for you	793	Eu tenho uma surpresa para você.	Eu tenho uma surpresa para você.	Eu tenho uma surpresa para você	794	???? ??? ???????? ??? ?? ???????? ???	???? ??? ???????? ??? ?? ???????? ??	795	mere paas tumhaare lie ek sarapraij hai.	mere paas tumhaare lie ek sarapraij hai	796												
