"sentence_id";"text";"language_key";"suggested_replacement"
1;"I have lost my passport";"EN";""
2;"Eu perdi meu passaporte";"PT";""
3;"मैंने अपना पासपोर्ट खो दिया है";"HI";""
4;"mainne apana paasaport kho diya hai";"HI";""
5;"Someone stole my money";"EN";""
6;"Alguém roubou meu dinheiro";"PT";""
7;"किसी ने मेरा पैसा चुरा लिया";"HI";""
8;"kisee ne mera paisa chura liya";"HI";""
9;"Help";"EN";""
10;"Socorro";"PT";""
11;"मदद";"HI";""
12;"madad";"HI";""
13;"May I have the bill";"EN";""
14;"Pode trazer a conta";"PT";""
15;"क्या मुझे बिल मिल सकता है";"HI";""
16;"kya mujhe bil mil sakata hai";"HI";""
17;"I would like dessert";"EN";""
18;"Eu gostaria de sobremesa";"PT";""
19;"मैं मिठाई चाहूंगा";"HI";""
20;"main mithaee chaahoonga";"HI";""
21;"I would like to order";"EN";""
22;"Eu gostaria de pedir";"PT";""
23;"मैं फरमाइश करना चाहता हूँ";"HI";""
24;"main pharamaish karana chaahata hoon";"HI";""
25;"May I see a menu";"EN";""
26;"Posso ver um menu";"PT";""
27;"क्या मुझे एक मेनू मिल सकताा है";"HI";""
28;"kya mujhe ek menu mil sakata  hai";"HI";""
29;"I would like a drink";"EN";""
30;"Quero uma bebida";"PT";""
31;"मुझे ड्रिंक चाहिए";"HI";""
32;"mujhe drink chaahie";"HI";""
33;"I would like some water";"EN";""
34;"Eu gostaria de um pouco de água";"PT";""
35;"थोडा पानी पीना चाहूँगा।";"HI";""
36;"thoda paanee peena chaahoonga";"HI";""
37;"A table for two";"EN";""
38;"Uma mesa para dois";"PT";""
39;"हम दो के लिए एक मेज";"HI";""
40;"hum do ke lie ek mej";"HI";""
41;"A table for four";"EN";""
42;"Uma mesa para quatro";"PT";""
43;"हम चार के लिए एक मेज।";"HI";""
44;"hum chaar ke lie ek mej";"HI";""
45;"How far is it to the airport";"EN";""
46;"A que distância fica do aeroporto";"PT";""
47;"हवाई अड्डे से कितनी दूर है";"HI";""
48;"havaee adde se kitanee door hai";"HI";""
49;"How far is it to the hotel";"EN";""
50;"Qual é a distância para o hotel";"PT";""
51;"यहां से होटल कितनी दूरी पर हैै";"HI";""
52;"yahaan se hotal kitanee dooree par hai";"HI";""
53;"How do you get to the airport";"EN";""
54;"Como você chega ao aeroporto";"PT";""
55;"हवाई अड्डे तक कैसे पहुंचेंगे";"HI";""
56;"havaee adde tak kaise pahunchenge";"HI";""
57;"How do you get to the hotel";"EN";""
58;"Como você chega ao hotel";"PT";""
59;"आप होटल में कैसे पहुँचेंगेै";"HI";""
60;"aap hotal mein kaise pahunchenge";"HI";""
61;"Where is the bank";"EN";""
62;"Onde é o Banco";"PT";""
63;"बैंक कहाँ हैै";"HI";""
64;"bank kahaan hai";"HI";""
65;"Where can I find a restaurant";"EN";""
66;"Onde posso encontrar um restaurante";"PT";""
67;"मुझे एक रेस्तरां कहां मिल सकता है";"HI";""
68;"mujhe ek restaraan kahaan mil sakata hai";"HI";""
69;"Where is the hospital";"EN";""
70;"Onde fica o hospital";"PT";""
71;"अस्पताल कहाँ है";"HI";""
72;"aspataal kahaan hai";"HI";""
73;"Where can I find a grocery store";"EN";""
74;"Onde posso encontrar uma mercearia";"PT";""
75;"मुझे किराने की दुकान कहां मिल सकती है";"HI";""
76;"mujhe kiraane kee dukaan kahaan mil sakatee hai";"HI";""
77;"How do I call down to the front desk";"EN";""
78;"Como faço para ligar para a recepção";"PT";""
79;"मैं फ्रंट डेस्क पर कैसे कॉल करूं";"HI";""
80;"main phrant desk par kaise kol karoon";"HI";""
81;"How do I call for room service";"EN";""
82;"Como faço para ligar para o serviço de quarto";"PT";""
83;"मैं रूम सर्विस के लिए कैसे कॉल करूं";"HI";""
84;"main room sarvis ke lie kaise kol karoon";"HI";""
85;"My room is messy, and I would like it cleaned";"EN";""
86;"Meu quarto está bagunçado e eu gostaria de limpá-lo";"PT";""
87;"मेरा कमरा गन्दा है, और मैं चाहूंगा कि यह साफ हो जाए";"HI";""
88;"mera kamara ganda hai, aur main chaahoonga ki yah saaph ho jae";"HI";""
89;"My room needs towels";"EN";""
90;"Meu quarto precisa de toalhas";"PT";""
91;"मेरे कमरे में तौलिये की जरूरत है";"HI";""
92;"mere kamare mein tauliye kee jaroorat hai";"HI";""
93;"Is there free breakfast";"EN";""
94;"Tem café da manhã grátis";"PT";""
95;"मक्या मुफ्त का नाश्ता है";"HI";""
96;"kya mupht ka naashta hai";"HI";""
97;"How do I access the Internet";"EN";""
98;"Como eu acesso a Internet";"PT";""
99;"मैं इंटरनेट का उपयोग कैसे करूं";"HI";""
100;"main intaranet ka upayog kaise karoon";"HI";""
101;"Where are the elevators";"EN";""
102;"Onde estão os elevadores";"PT";""
103;"लिफ्ट कहां हैं";"HI";""
104;"lipht kahaan hain";"HI";""
105;"What floor am I on";"EN";""
106;"Em que andar estou";"PT";""
107;"मैं किस मंजिल पर हूँ";"HI";""
108;"main kis manjil par hoon";"HI";""
109;"How many beds are in the room";"EN";""
110;"Quantas camas estão no quarto";"PT";""
111;"इस कमरे में कितने बिस्तर हैंँ";"HI";""
112;"is kamare mein kitane bistar hain";"HI";""
113;"Does the room have a bathroom";"EN";""
114;"O quarto tem banheiro";"PT";""
115;"क्या कमरे में बाथरूम है";"HI";""
116;"kya kamare mein baatharoom hai";"HI";""
117;"I don’t understand";"EN";""
118;"Eu não entendo";"PT";""
119;"मैं नहीं समझता";"HI";""
120;"main nahin samajhata";"HI";""
121;"I would like to go to the airport";"EN";""
122;"Eu gostaria de ir ao aeroporto";"PT";""
123;"मैं एयरपोर्ट जाना चाहूंगा";"HI";""
124;"main eyaraport jaana chaahoonga";"HI";""
125;"I would like to go to the the mall";"EN";""
126;"Eu gostaria de ir ao shopping";"PT";""
127;"मैं मॉल जाना चाहूंगा";"HI";""
128;"main mol jaana chaahoonga";"HI";""
129;"I would like to go to the the hotel";"EN";""
130;"Eu gostaria de ir ao hotel";"PT";""
131;"मैं होटल जाना चाहूंगाा";"HI";""
132;"main hotal jaana chaahoonga";"HI";""
133;"I would like to go to work";"EN";""
134;"Eu gostaria de ir trabalhar";"PT";""
135;"मैं काम पर जाना चाहूंगा";"HI";""
136;"main kaam par jaana chaahoonga";"HI";""
137;"I would like to go eat";"EN";""
138;"Eu gostaria de ir comer";"PT";""
139;"मैं खाना खाने जाना चाहूंगा";"HI";""
140;"main khaana khaane jaana chaahoonga";"HI";""
141;"Do you know where this hotel is";"EN";""
142;"Você sabe onde fica este hotel";"PT";""
143;"क्या आप जानते हैं कि यह होटल कहाँ है";"HI";""
144;"kya aap jaanate hain ki yah hotal kahaan hai";"HI";""
145;"Where can I find a taxi";"EN";""
146;"Onde posso encontrar um táxi";"PT";""
147;"मुझे टैक्सी कहाँ मिल सकती हैा";"HI";""
148;"mujhe taiksee kahaan mil sakatee hai";"HI";""
149;"Where is the bus stop";"EN";""
150;"Onde é o ponto de ônibus";"PT";""
151;"बस स्टॉप कहा है";"HI";""
152;"bus stop kaha hai";"HI";""
153;"Where is the currency exchange";"EN";""
154;"Onde está a troca de moeda";"PT";""
155;"मुद्रा विनिमय कहां है";"HI";""
156;"mudra vinimay kahaan hai";"HI";""
157;"Do you have a map";"EN";""
158;"Você tem um mapa";"PT";""
159;"क्या तुम्हारे पास नक्शा हैं";"HI";""
160;"kya tumhaare paas naksha hai";"HI";""
161;"I am staying at a hotel";"EN";""
162;"Eu estou hospedado em um hotel";"PT";""
163;"मैं एक होटल में ठहरा हूँ";"HI";""
164;"main ek hotal mein thahara hoon";"HI";""
165;"I am visiting family";"EN";""
166;"Eu estou visitando a família";"PT";""
167;"मैं अपने परिवार सेा मिलनेा जा रहा हूै";"HI";""
168;"main apne parivaar se milne ja raha hoon.";"HI";""
169;"I will be here for a few days";"EN";""
170;"Eu estarei aqui por alguns dias";"PT";""
171;"मैं कुछ दिनों के लिए यहां रहूंगा।";"HI";""
172;"main kuchh dinon ke lie yahaan rahoonga";"HI";""
173;"I will be here for a week";"EN";""
174;"Eu estarei aqui por uma semana";"PT";""
175;"मैं एक सप्ताह के लिए यहां रहूंगा।";"HI";""
176;"main ek saptaah ke lie yahaan rahoonga";"HI";""
177;"I will be here for a few weeks";"EN";""
178;"Eu estarei aqui por algumas semanas";"PT";""
179;"मैं कुछ हफ्तों के लिए यहां रहूंगा।";"HI";""
180;"main kuchh haphton ke lie yahaan rahoonga";"HI";""
181;"I am traveling for work";"EN";""
182;"Eu estou viajando para o trabalho";"PT";""
183;"क्मैं काम के लिए यात्रा कर रहा हूैं";"HI";""
184;"main kaam ke lie yaatra kar raha hoon";"HI";""
185;"I am traveling for leisure";"EN";""
186;"Eu estou viajando a lazer";"PT";""
187;"मैं अवकाश के लिए यात्रा कर रहा हूं";"HI";""
188;"main avakaash ke lie yaatra kar raha hoon";"HI";""
189;"I have a connecting flight";"EN";""
190;"Eu tenho um voo de conexão";"PT";""
191;"मेरी कनेक्टिंग फ्लाइट है";"HI";""
192;"meree connecting flight hai";"HI";""
193;"What time is it";"EN";""
194;"Que horas são";"PT";""
195;"क्या समय हुआ है";"HI";""
196;"kya samay hua hai";"HI";""
197;"May I purchase headphones";"EN";""
198;"Posso comprar fones de ouvido";"PT";""
199;"क्या मैं हेडफ़ोन खरीद सकता हूँ";"HI";""
200;"kya main hedafon khareed sakata hoon";"HI";""
201;"May I have something to drink";"EN";""
202;"Posso ter algo para beber";"PT";""
203;"क्या मुझे कुछ पीने के लिए मिल सकता है";"HI";""
204;"kya mujhe kuchh peena ke liye mil sakata hai";"HI";""
205;"May I have something to eat";"EN";""
206;"Posso comer alguma coisa";"PT";""
207;"क्या मुझे कुछ खाने के लिए मिल सकता है?";"HI";""
208;"kya mujhe kuchh khaane ke liye mil sakata hai";"HI";""
209;"Are meals included";"EN";""
210;"As refeições estão incluídas";"PT";""
211;"क्या भोजन शामिल हैं";"HI";""
212;"kya bhojan shaamil hain";"HI";""
213;"How much does the magazine cost";"EN";""
214;"Quanto custa a revista";"PT";""
215;"पत्रिका कितने की है";"HI";""
216;"patrika kitney ki hai";"HI";""
217;"Where is the restroom";"EN";""
218;"Onde é o banheiro";"PT";""
219;"शौचालय कहाँ है";"HI";""
220;"shauchalya kahaan hai?";"HI";""
221;"Where is my gate";"EN";""
222;"Onde está o meu portão";"PT";""
223;"मेरा गेट कहाँ है";"HI";""
224;"mera get kahaan hai";"HI";""
225;"What airline am I flying";"EN";""
226;"Qual companhia aérea estou voando";"PT";""
227;"मैं किस एयरलाइन की उड़ान भर रहा हूं";"HI";""
228;"main kis eyaralain kee udaan bhar raha hoon";"HI";""
229;"What time is my flight";"EN";""
230;"A que horas é o meu voo";"PT";""
231;"मेरी फ्लाइट का समय क्या है";"HI";""
232;"meree flight ka samay kya hai";"HI";""
233;"I would like some food";"EN";""
234;"Eu gostaria de um pouco de comida";"PT";""
235;"मुझे कुछ खाना चाहिए";"HI";""
236;"mujhe kuchh khaana chaahie";"HI";""
237;"How are you";"EN";""
238;"Como você está";"PT";""
239;"क्या हाल है";"HI";""
240;"kya haal hai";"HI";""
241;"How is it going";"EN";""
242;"Como vão as coisas";"PT";""
243;"कैसा चल रहा है";"HI";""
244;"kaisa chal raha hai";"HI";""
245;"Hello";"EN";""
246;"Olá";"PT";""
247;"नमस्तेे";"HI";""
248;"namaste";"HI";""
249;"Hi";"EN";""
250;"Oi.";"PT";""
251;"नमस्तेे";"HI";""
252;"namaste";"HI";""
253;"Hey";"EN";""
254;"Ei";"PT";""
255;"अरे";"HI";""
256;"arey";"HI";""
257;"Good morning";"EN";""
258;"Bom Dia";"PT";""
259;"शुभ प्रभात";"HI";""
260;"shubh prabhaat";"HI";""
261;"Good afternoon";"EN";""
262;"Boa tarde";"PT";""
263;"नमस्कार";"HI";""
264;"namaskaar";"HI";""
265;"Good evening";"EN";""
266;"Boa noite";"PT";""
267;"सुसंध्या";"HI";""
268;"susandhya";"HI";""
269;"Good night";"EN";""
270;"Boa noite";"PT";""
271;"शुभ रात्रिूं";"HI";""
272;"shubh raatri";"HI";""
273;"I love the feeling of fingers running through my hair";"EN";""
274;"Eu adoro Cafuné";"PT";""
275;"मुझे अपने बालों में उंगलियां चलाने का एहसास बहुत पसंद है";"HI";""
276;"mujhe apane baalon mein ungaliyaan chalaane ka ehasaas bahut pasand hai";"HI";""
277;"You hit one out of the park";"EN";""
278;"Você foi ótimo";"PT";""
279;"तुमने बहुत अच्छा किया";"HI";""
280;"tumne bahut achchha kiya";"HI";""
281;"You did great";"EN";""
282;"Você foi ótimo";"PT";""
283;"तुमने बहुत अच्छा किया";"HI";""
284;"tumne bahut achchha kiya";"HI";""
285;"Where is tourist information";"EN";""
286;"Onde está a informação turística";"PT";""
287;"पर्यटकों की जानकारी कहां हैै";"HI";""
288;"paryatakon kee jaanakaaree kahaan hai";"HI";""
289;"Where can I get my baggage";"EN";""
290;"Onde posso obter a minha bagagem";"PT";""
291;"मुझे अपना सामान कहां पर मिलेगा";"HI";""
292;"mujhe apana saamaan kahaan par milega";"HI";""
293;"I have to catch a connecting flight";"EN";""
294;"Eu tenho que pegar um vôo de conexão";"PT";""
295;"मुझे कनेक्टिंग फ्लाइट पकड़नी है";"HI";""
296;"mujhe kanekting phlait pakadanee hai";"HI";""
297;"Which way is that";"EN";""
298;"Qual é o caminho";"PT";""
299;"कौन सा तरीका है";"HI";""
300;"kaun sa tareeka hai";"HI";""
301;"I just missed my connecting flight";"EN";""
302;"Eu perdi meu voo de conexão";"PT";""
303;"मेरी कनेक्टिंग फ्लाइट छूट गयी ";"HI";""
304;"meri connecting flight chhut gayi";"HI";""
305;"Excuse me, Where is this boarding gate";"EN";""
306;"Com licença, onde está esse portão de embarque";"PT";""
307;"माफ कीजिए, यह बोर्डिंग गेट कहां है";"HI";""
308;"maaph keejie, yah bording get kahaan hai";"HI";""
309;"Can you recommend a hotel";"EN";""
310;"Você pode recomendar um hotel";"PT";""
311;"क्या आप होटल की सिफारिश कर सकते हैं";"HI";""
312;"kya aap hotal kee siphaarish kar sakate hain";"HI";""
313;"Is there a smoking area";"EN";""
314;"Existe uma área para fumantes";"PT";""
315;"क्या कोई धूम्रपान क्षेत्र है";"HI";""
316;"kya koee dhoomrapaan kshetr hai";"HI";""
317;"Is there a bus to the city";"EN";""
318;"Existe um ônibus para a cidade";"PT";""
319;"क्या शहर के लिए कोई बस है";"HI";""
320;"kya shahar ke liye koi bas hai?";"HI";""
321;"Where is the taxi stand";"EN";""
322;"Onde fica o ponto de táxi";"PT";""
323;"टैक्सी स्टैंड कहां है";"HI";""
324;"taiksee staind kahaan hai?";"HI";""
325;"Could you recommend a hotel in downtown";"EN";""
326;"Você poderia recomendar um hotel no centro da cidade";"PT";""
327;"आप शहर में एक अच्छा होटल बता सकते है";"HI";""
328;"aap shahar mein ek achchha hotel bata sakate hain?";"HI";""
329;"How much does it cost to take a taxi to this address";"EN";""
330;"Quanto custa pegar um táxi para esse endereço";"PT";""
331;"इस पते पर टैक्सी लेने में कितना खर्च होता है";"HI";""
332;"is pate par taiksee lene mein kitana kharch hota hai";"HI";""
333;"Take me to this address, please";"EN";""
334;"Leve-me até este endereço por favor";"PT";""
335;"कृपया मुझे इस पते पर ले चलिए";"HI";""
336;"krpaya mujhe is pate par le chalie";"HI";""
337;"Hilton hotel, please";"EN";""
338;"Hotel Hilton, por favor";"PT";""
339;"कृपया हिल्टन होटल चलिए";"HI";""
340;"krpaya hiltan hotal chalie";"HI";""
341;"Let me off here";"EN";""
342;"Me deixe sair daqui";"PT";""
343;"मुझे यहाँ छोड़ दोै";"HI";""
344;"mujhe yahaan chhod do";"HI";""
345;"Anywhere around here is fine";"EN";""
346;"Qualquer lugar por aqui está bem";"PT";""
347;"यहां आसपास कहीं भी ठीक है";"HI";""
348;"yahaan aasapaas kaheen bhee theek hai";"HI";""
349;"Keep the change";"EN";""
350;"Fique com o troco";"PT";""
351;"छुट्टे रख लो";"HI";""
352;"chhutte rakh lo";"HI";""
353;"I would like to book a room";"EN";""
354;"Eu gostaria de reservar um quarto";"PT";""
355;"मैं एक कमरा बुक करना चाहूंगा";"HI";""
356;"main ek kamara buk karana chaahoonga";"HI";""
357;"I’d like a single room";"EN";""
358;"Gostaria de um quarto individual";"PT";""
359;"मुझे एक सिंगल कमरा चाहिएूै";"HI";""
360;"mujhe ek singal kamara chaahie";"HI";""
361;"I’d like to book a double room for 3 nights";"EN";""
362;"Eu gostaria de reservar um quarto duplo por 3 noites";"PT";""
363;"मैं 3 रातों के लिए एक डबल कमरा बुक करना चाहता हूँ";"HI";""
364;"main 3 raaton ke lie ek dabal kamara buk karana chaahata hoon";"HI";""
365;"How much is a double room per night";"EN";""
366;"Quanto custa um quarto duplo por noite";"PT";""
367;"प्रति रात एक डबल कमरे का कितना है";"HI";""
368;"prati raat ek dabal kamarey ka kitana hai?";"HI";""
369;"I’d like a room with a nice view";"EN";""
370;"Eu gostaria de um quarto com uma bela vista";"PT";""
371;"मुझे एक अच्छे नज़ारा वाला कमरा चाहिए";"HI";""
372;"mujhe ek achchhe nazarey wala kamara chaahie";"HI";""
373;"Can I have an extra bed for my room";"EN";""
374;"Posso ter uma cama extra no meu quarto";"PT";""
375;"क्या मुझे अपने कमरे के लिए एक अतिरिक्त बिस्तर मिल सकता है";"HI";""
376;"kya mujhe apane kamare ke lie ek atirikt bistar mil sakata hai";"HI";""
377;"I’m arriving late. Please keep my reservation";"EN";""
378;"Estou chegando atrasado. Por favor, mantenha minha reserva";"PT";""
379;"मैं देर से पहुँच रहा हूँ कृपया मेरा  रिजर्वेशन रखें।";"HI";""
380;"main der se pahunch raha hoon krpaya mera reservation rakhen.";"HI";""
381;"When does the dining-room open";"EN";""
382;"Quando a sala de jantar abre";"PT";""
383;"भोजन कक्ष कब खुलता है?";"HI";""
